id,parent,reply,character
295,I’d rather have the bowl.,"You can’t have the bowl! Oscar Martinez, cheer or fear? Belsnickel is here! I judge your year …as impish!",Dwight
296,"Oh, assist.",I sorta like the old way.,Michael
297,Sounds like someone’s really trying to convince us that he’s not the Scranton Strangler.,To my chickens I’m the Scranton Strangler. Oh-ho! That’s very funny. Looks like someone decided to dress up as old Dwight Schrute’s mom.,Dwight
298,"Oh, okay, Michael, slow down. Everything’s gonna be okay.","No, it’s not. It’s not. Oh, man, I can tell you confidently that it is not gonna be okay.",Michael
299,"Hi, Michael.","Hey, hey, hey. Hey. I forgot… I forgot…",Michael
300,"Hey, bud.",Are they looking at me?,Jim
301,"Last night on Trading Spouses, there’s… have you seen it?",No. I have a life.,Pam
302,"Hey, man.","Thank you! Thank you. I got it. Now I know. You thought I was a little dorky. You know? Okay. Well, excuuuuse me.",Pam
303,"OK, what am I thinking right now?","Umm, nacho chips.",Michael
304,Only one that I was kind of worried about.,"This is where I fell in love with you. And this is where I ask you to marry me. It started with.. Holly Flax, marrying me will you be?",Michael
305,It’s his last Dundies.,You gotta play along man.,Jim
306,All right.,Love you.,Pam
307,Like the main company number? Because I’m gonna have to call information.,Where’s Armani? He’s on the phone. Too slow. You are not going to Paris. I’m so much better than you are.,Michael
308,Thanks. I still don’t understand why you wanted me to say that.,Shut up.,Dwight
309,I’m unhappy when I’m with her.,Michael… you shouldn’t be with someone who doesn’t make you happy.,Pam
310,Pushing on.,"It’s next. Just keep it. “Look on the supply shelf.” What? What is that? All right, Ryan, look on the supply shelf, would you?",Michael
311,Am I nomadic?,No.,Pam
312,"Oh, hmm, all of them. I loved them all. Every single one.",What about when Jan said the branch was closing?,Dwight
313,"Yes, Pam what do you want?","Oh my God, Meredith what are you doing!?",Pam
314,"No, that’s skeptical. Do sad.",Mmm…,Jim
315,You need to get back on top.,That’s what she said.,Michael
316,Oh. Dwight-elicious. Where you at?,"Oh, hi, Michael. I’m so sorry I’m late. I got stuck in traffic.",Dwight
317,Yes.,I can’t… I can’t here what you’re saying.,Dwight
318,Any word on those time cards?,"I’ve got an idea: why don’t you leave right now. Why don’t you walk away from the room, ‘kay? Fine. We’ll go at lunch. Pam, make an announcement. Figure out carpools.",Michael
319,No. I’m sure.,So?,Dwight
320,Ugh.,And there’s parts of her I don’t even recognize.,Dwight
321,What? Oh my God you heard that I’m so embarrassed. I’m like so rusty.,"Oh it’s good, you’re coming along. It’s really technically proficient but really there’s no heart or soul in it.",Dwight
322,That is totally inappropriate. You never yell at the client. You never yell at the client.,"Now, you listen to me, sir.",Jim
323,Did you go to second?,What?,Michael
324,"Be respectful, Dwight.","Yes, Michael.",Dwight
325,"Dwight, sometimes it takes couples years to get pregnant.",Really? How long did it take you and Pam to conceive?,Dwight
326,"So I’m back. And I am never, ever going to leave. I am going nowhere. This place… is like… the hospital where I was born, my house, my old age home, and my… graveyard… for my bones.",Did… Karen get the job?,Pam
327,"Oh, a lot of fathers bring their car around.","Right, okay. Yes, that would be the smart thing to do. Uh, Pam, I will be right back.",Jim
328,Huh. Sounds a lot like dentist.,Maybe that’s why he became a dentist.,Dwight
329,Yeah?,We bonded. We got to-,Jim
330,"Might have hi— OK, what firm?",You’re breaking up.,Michael
331,All right. Dwight. Just push and breathe.,Numb me up. I want anesthesia!,Dwight
332,"No, they must have class.","No, it’s free during the day. It’s fine.",Dwight
333,"Here’s the thing. Um, I’ve tried it like five different ways in my head and – Oh, got one. Um, I’m such a perfectionist…",Mmm-hmm.,Jim
334,There’s about 30 news alerts for “Nip Slip.”,For what?,Michael
335,"It’s just that we’re really swamped over here, Michael.","Oh, and I’m not? Why would you say that? Because I’m having fun? You guys just are workin’ for the weekend, aren’t you? I’m workin’ for the week. Sales team, listen to me. This is what we’re gonna do. I’m gonna up the ante a little bit literally. Right here, I’m gonna put a crisp one hundred dollar bill. The person with the most sales at the end of the day gets to keep the cash. Sound good?",Michael
336,"So, you ready for the… the Dundies?",Ugh…,Pam
337,"Right. Exactly. Uh, instead, we need to celebrate our diversity.",Let’s celebrate.,Michael
338,"If ghosts are real, how come everyone knows what they look like? It’s not like a bunch of people got together and agreed on a lie.",Thank you.,Pam
339,The Hawks are terrible. They’re always terrible.,"Okay, you need to think about it before you come with the…",Jim
340,Well… this was supposed to be your wedding.,Oh… um… no. That’s… um… That’s actually fine,Pam
341,Wow. You look–,Terrible.,Pam
342,"Michael, watch the road!","Hey, you’re making me spray!",Dwight
343,"No. No, just something that was written in the ladies’ room wall.",What is it? Who wrote it?,Dwight
344,"Last week Jim wasn’t there, and they named the company Athlead.",I could have prevented that. So I have to talk to Wallace.,Jim
345,"No. No, you didn’t. we didn’t give you this.","No, I mean at the gift shop. Also, I can’t wear this anymore.",Dwight
346,Not me.,"Yes you. Come on, Stanley, put your little game down and join the group.",Michael
347,A dime and a nickel.,"No, I said one of them is not a nickel.",Dwight
348,"Listen, I’ve actually used a chair since I was four years old. I don’t really notice it anymore.","Well they notice it. Don’t you? You notice it. It’s the first thing you saw when he rolled in here, isn’t it?",Michael
349,"Thank you, Sensei.","And, ditto.",Michael
350,It’s not a big deal.,It’s not sterile!,Pam
351,It is not just coffee.,"He’s trying to set you up Michael. What’s going to happen is he’s going to try and bring up what ever you’re talking about in a very casual way, but secretly he’ll be trying to trip you up, and when he does, boom, its awful. Haven’t you noticed that I don’t bring up the Tour de France around him?",Jim
352,And I will be taking questions.,"Did you have a lot of sugar today, Michael?",Pam
353,"Oh! Ha, haha.","Why would they all be…? Ok, see you later, Pan.",Dwight
354,Thanks.,"Let me talk to you about a few of the other things we can offer. Namely, we know the tax season is coming up, so by April 1st we can have you fully stocked.",Jim
355,"Yeah, uh, well.","No, I should probably go too.",Pam
356,"Don’t shake the baby. Um, a lot of times, parents get frustrated ’cause the baby’s crying and they shake the baby. And you got to, um, you can’t do that.",Don’t shake our baby?,Pam
357,Is that the copier?,"It is, yes.",Michael
358,Dieting’s only half of it.,Mmm-hmm. Saunas.,Michael
359,"Um, why don’t you go ask him that?","Okay, I will… I’m not feeling very well right now though. My stomach hurts, so I may be going home early today, but…",Michael
360,"Your creditors can follow you anywhere with ease. Your debt follows you around the world, electronically.",I’ll stay off the grid.,Michael
361,The thing you just said?,Just forget it.,Michael
362,Dammit.,"Uh, Michael.",Jim
363,You mean Tony?,"Jabba the hut, Pizza the hut, Fat guys like pizza, pepperoni pizza, pepperoni Tony!",Michael
364,"Maybe you’re right, who are we to…","Shut up Oscar. What is wrong with all of you, he is sleeping with my mother!",Pam
365,You’re so much happier now. Just go in there and be strong.,You’re right. You’re absolutely right. I’m gonna go in there and tell her that we can’t be together.,Michael
366,Just fill them out any way you want.,Ok.,Michael
367,"Good. N-no no no, don’t.","“Please hug and kiss me, no matter how hard I struggle. I’m too shy to tell you that I love you.”",Pam
368,I can be very very persistent.,Do your worst.,Michael
369,God! Wow!,"Look, It’s a pimple Phyllis. Avrile Lavigne gets them all the time and she rocks harder than anyone alive.",Michael
370,Well…,"I mean, I don’t know. So… what’s it like dating a cheerleader?",Pam
371,Go ahead.,"Ok, um, this is… —I’ll be right back.",Jim
372,Yeah… That was um…,"I mean I can see how it would seem a bit like we uh… How it looks like um… I mean now a days you can edit anything, right? I mean you can edit anything to look like um… anything.",Jim
373,You can reduce your prices by ten percent or we’re going to be finding a new source for our morning bagels. All right.,"Gabe, I always wondered what it is you did around here. Now I found out. You’re the bagel guy.",Dwight
374,What?,"I don’t know, what?",Jim
375,"Now Dunder Mifflin has an arm’s reach in all these small businesses all over the northeast. Now we’re gonna take that arm, and we’re gonna start selling printers.",I could manage my way around that.,Michael
376,We’re not doing this today.,Have a seat. Like everybody else.,Michael
377,Fredrick Wilhelm the 3rd.,Who is the king of England?,Dwight
378,Same thing.,"If it’s the same thing, then why did you write “workspace”?",Jim
379,The office.,Gonna get it?,Dwight
380,"No, Jim please, repeat what you’re saying! I can’t understand you!",I at the Bermuda Triangle. An- M- please don’t call again.,Jim
381,"He said, ‘I did like Dwight’? He’s gonna fire him.","No, no, I think it was more like, ‘you know, I liked him, but I don’t anymore because he did a bad job, so I’m definitely gonna yell at him’.",Jim
382,I’ll try and think of one. When…,Don’t. Don’t try and think of a question to humor me. Just… try not to be such an idiot.,Michael
383,"He really is, but not for long. Ow! Instep, oh, not again. You let go, you let go. Oh, you’re right, I can’t hold on.",You two are so evenly matched I don’t know how one of you is going to get the upper hand.,Jim
384,"Evan, this is Jim.",How are you?,Jim
385,Oh my God.,…R-P-E-E-S,Michael
386,What about you?,"Her boobs, definitely.",Michael
387,"Oh, I’m sorry. Go ahead.","Uh, no, I um. Everything’s pretty much the same here.",Pam
388,Thank you very much.,I cannot wait to contact your clients.,Michael
